cut_idx,fPhase,canon_tt,cut_delay
64,1,65571, -1.000000
65,0,939524095, -1.000000
65,1,19, -1.000000
66,0,2004318071, 17.670000
66,1,286331153, 18.620001
67,0,2004318071, 17.670000
67,1,286331153, 24.280001
68,0,522133279, 21.020000
68,1,117901063, 26.590000
69,0,2139062143, 31.150000
69,1,16843009, 26.600000
70,0,33489407, 28.330000
70,1,8323199, 25.270000
71,0,33489407, 25.920000
71,1,8323199, 32.410000
72,0,2004842367, 24.190001
72,1,17891601, 35.830002
73,0,131071, -1.000000
73,1,32767, -1.000000
74,0,1310719, -1.000000
74,1,14335, -1.000000
75,0,17039359, -1.000000
75,1,16255, -1.000000
76,0,5767167, -1.000000
76,1,5631, -1.000000
77,0,286523391, -1.000000
77,1,14199, -1.000000
78,0,524287, -1.000000
78,1,8191, -1.000000
79,0,1310719, -1.000000
79,1,14335, -1.000000
80,0,2004318079, 30.549999
80,1,17895697, 30.360001
81,0,2004318079, 30.549999
81,1,17895697, 30.360001
82,0,2004318071, 17.670000
82,1,286331153, 18.620001
83,0,2004318071, 17.670000
83,1,286331153, 18.620001
84,0,2139062143, 21.379999
84,1,16843009, 22.879999
85,0,2004318071, 17.670000
85,1,286331153, 18.620001
86,0,2004318071, 17.670000
86,1,286331153, 18.620001
87,0,2139062143, 21.379999
87,1,16843009, 22.879999
88,0,2004318071, 17.670000
88,1,286331153, 24.280001
89,0,926365495, 21.020000
89,1,320017171, 26.590000
90,0,353703189, 21.030001
90,1,1465341783, 21.020000
91,0,522133279, 21.020000
91,1,117901063, 26.590000
92,0,17760527, -1.000000
92,1,259985279, -1.000000
93,0,33489407, 25.920000
93,1,8323199, 25.270000
94,0,3473461, -1.000000
94,1,905917951, -1.000000
95,0,17760527, -1.000000
95,1,259985279, -1.000000
96,0,33489407, 25.920000
96,1,8323199, 25.270000
97,0,2004318071, 17.670000
97,1,286331153, 18.620001
98,0,2004318071, 17.670000
98,1,286331153, 18.620001
99,0,2139062143, 21.379999
99,1,16843009, 22.879999
100,0,2004318071, 17.670000
100,1,286331153, 18.620001
101,0,2004318071, 17.670000
101,1,286331153, 18.620001
102,0,2139062143, 21.379999
102,1,16843009, 22.879999
103,0,2004318071, 17.670000
103,1,286331153, 18.620001
104,0,926365495, 21.020000
104,1,320017171, 21.030001
105,0,353703189, 21.030001
105,1,1465341783, 21.020000
106,0,522133279, 21.020000
106,1,117901063, 21.030001
107,0,17760527, -1.000000
107,1,259985279, -1.000000
108,0,33489407, 25.920000
108,1,8323199, 25.270000
109,0,3473461, -1.000000
109,1,905917951, -1.000000
110,0,17760527, -1.000000
110,1,259985279, -1.000000
111,0,33489407, 25.920000
111,1,8323199, 25.270000
112,0,2004318071, 17.670000
112,1,286331153, 18.620001
113,0,2139062143, 31.150000
113,1,16843009, 22.879999
114,0,2139062143, 21.379999
114,1,16843009, 26.600000
115,0,939472895, 31.780001
115,1,1245203, 26.000000
116,0,536813567, 24.190001
116,1,458759, 35.830002
117,0,930559863, -1.000000
117,1,286462227, -1.000000
118,0,369038847, -1.000000
118,1,5701719, -1.000000
119,0,1065303935, 31.780001
119,1,16974083, 26.000000
120,0,939472895, 24.190001
120,1,1245203, 35.830002
121,0,2147450879, 33.009998
121,1,65537, 28.690001
122,0,33554431, 30.549999
122,1,127, 30.360001
123,0,33554431, 30.549999
123,1,127, 30.360001
124,0,33492991, -1.000000
124,1,983167, -1.000000
125,0,17825791, -1.000000
125,1,3967, -1.000000
126,0,3538943, -1.000000
126,1,13823, -1.000000
127,0,3538943, -1.000000
127,1,13823, -1.000000
128,0,33554431, 30.549999
128,1,127, 30.360001
129,0,33554431, 30.549999
129,1,127, 30.360001
130,0,33492991, -1.000000
130,1,983167, -1.000000
131,0,17825791, -1.000000
131,1,3967, -1.000000
132,0,364904447, -1.000000
132,1,427, -1.000000
133,0,935329791, -1.000000
133,1,291, -1.000000
134,0,1065353215, -1.000000
134,1,259, -1.000000
135,0,532676607, -1.000000
135,1,267, -1.000000
136,0,532660159, -1.000000
136,1,16843019, -1.000000
137,0,536854527, -1.000000
137,1,65547, -1.000000
138,0,536870911, -1.000000
138,1,7, -1.000000
139,0,935313343, -1.000000
139,1,16843043, -1.000000
140,0,1065320319, -1.000000
140,1,16843011, -1.000000
141,0,364887999, -1.000000
141,1,16843179, -1.000000
142,0,369082367, -1.000000
142,1,65707, -1.000000
143,0,369098751, -1.000000
143,1,87, -1.000000
144,0,1073709055, -1.000000
144,1,65539, -1.000000
145,0,939507711, -1.000000
145,1,65571, -1.000000
146,0,939524095, -1.000000
146,1,19, -1.000000
147,0,2004318071, 17.670000
147,1,286331153, 18.620001
148,0,2004318071, 17.670000
148,1,286331153, 24.280001
149,0,522133279, 21.020000
149,1,117901063, 26.590000
150,0,2139062143, 31.150000
150,1,16843009, 26.600000
151,0,33489407, 28.330000
151,1,8323199, 25.270000
152,0,33489407, 25.920000
152,1,8323199, 32.410000
153,0,2004842367, 24.190001
153,1,17891601, 35.830002
154,0,131071, -1.000000
154,1,32767, -1.000000
155,0,1310719, -1.000000
155,1,14335, -1.000000
156,0,17039359, -1.000000
156,1,16255, -1.000000
157,0,5767167, -1.000000
157,1,5631, -1.000000
158,0,286523391, -1.000000
158,1,14199, -1.000000
159,0,524287, -1.000000
159,1,8191, -1.000000
160,0,1310719, -1.000000
160,1,14335, -1.000000
161,0,2004318079, 30.549999
161,1,17895697, 30.360001
162,0,2004318079, 30.549999
162,1,17895697, 30.360001
163,0,2004318071, 17.670000
163,1,286331153, 24.280001
164,0,1465341783, 25.350000
164,1,353703189, 26.590000
165,0,522133279, 25.350000
165,1,117901063, 26.590000
166,0,253693727, 25.920000
166,1,118425359, 32.410000
167,0,19071267, -1.000000
167,1,935278527, -1.000000
168,0,33489407, 25.920000
168,1,8323199, 32.410000
169,0,1434408319, -1.000000
169,1,22348117, -1.000000
170,0,134154239, -1.000000
170,1,2031647, -1.000000
171,0,287248671, 29.410000
171,1,125241207, 22.709999
172,0,19079971, -1.000000
172,1,926365631, -1.000000
173,0,253697823, -1.000000
173,1,117901071, -1.000000
174,0,17900339, -1.000000
174,1,859290559, -1.000000
175,0,17956863, -1.000000
175,1,30591, -1.000000
176,0,1431666687, -1.000000
176,1,87381, -1.000000
177,0,8388607, -1.000000
177,1,511, -1.000000
178,0,1431666687, -1.000000
178,1,87381, -1.000000
179,0,8388607, -1.000000
179,1,511, -1.000000
180,0,987423, 35.500000
180,1,125243391, 28.770000
181,0,16843263, 35.500000
181,1,8355711, 28.770000
182,0,286334975, -1.000000
182,1,489335, -1.000000
183,0,117901311, -1.000000
183,1,2039583, -1.000000
184,0,2004318071, 17.670000
184,1,286331153, 18.620001
185,0,2004318071, 17.670000
185,1,286331153, 18.620001
186,0,2139062143, 21.379999
186,1,16843009, 22.879999
187,0,2004318071, 17.670000
187,1,286331153, 18.620001
188,0,2004318071, 17.670000
188,1,286331153, 18.620001
189,0,2139062143, 21.379999
189,1,16843009, 22.879999
190,0,2004318071, 17.670000
190,1,286331153, 24.280001
191,0,926365495, 21.020000
191,1,320017171, 26.590000
192,0,353703189, 21.030001
192,1,1465341783, 21.020000
193,0,522133279, 21.020000
193,1,117901063, 26.590000
194,0,17760527, -1.000000
194,1,259985279, -1.000000
195,0,33489407, 25.920000
195,1,8323199, 25.270000
196,0,3473461, -1.000000
196,1,905917951, -1.000000
197,0,17760527, -1.000000
197,1,259985279, -1.000000
198,0,33489407, 25.920000
198,1,8323199, 25.270000
199,0,2004318071, 17.670000
199,1,286331153, 18.620001
200,0,2004318071, 17.670000
200,1,286331153, 18.620001
201,0,2139062143, 21.379999
201,1,16843009, 22.879999
202,0,2004318071, 17.670000
202,1,286331153, 18.620001
203,0,2004318071, 17.670000
203,1,286331153, 18.620001
204,0,2139062143, 21.379999
204,1,16843009, 22.879999
205,0,2004318071, 17.670000
205,1,286331153, 18.620001
206,0,926365495, 21.020000
206,1,320017171, 21.030001
207,0,353703189, 21.030001
207,1,1465341783, 21.020000
208,0,522133279, 21.020000
208,1,117901063, 21.030001
209,0,17760527, -1.000000
209,1,259985279, -1.000000
210,0,33489407, 25.920000
210,1,8323199, 25.270000
211,0,3473461, -1.000000
211,1,905917951, -1.000000
212,0,17760527, -1.000000
212,1,259985279, -1.000000
213,0,33489407, 25.920000
213,1,8323199, 25.270000
214,0,2004318071, 17.670000
214,1,286331153, 18.620001
215,0,2139062143, 31.150000
215,1,16843009, 22.879999
216,0,2139062143, 21.379999
216,1,16843009, 26.600000
217,0,939472895, 31.780001
217,1,1245203, 26.000000
218,0,536813567, 24.190001
218,1,458759, 35.830002
219,0,930559863, -1.000000
219,1,286462227, -1.000000
220,0,369038847, -1.000000
220,1,5701719, -1.000000
221,0,1065303935, 31.780001
221,1,16974083, 26.000000
222,0,939472895, 24.190001
222,1,1245203, 35.830002
223,0,2147450879, 33.009998
223,1,65537, 28.690001
224,0,33554431, 30.549999
224,1,127, 30.360001
225,0,33554431, 30.549999
225,1,127, 30.360001
226,0,33492991, -1.000000
226,1,983167, -1.000000
227,0,17825791, -1.000000
227,1,3967, -1.000000
228,0,3538943, -1.000000
228,1,13823, -1.000000
229,0,3538943, -1.000000
229,1,13823, -1.000000
230,0,33554431, 30.549999
230,1,127, 30.360001
231,0,33554431, 30.549999
231,1,127, 30.360001
232,0,33492991, -1.000000
232,1,983167, -1.000000
233,0,17825791, -1.000000
233,1,3967, -1.000000
234,0,364904447, -1.000000
234,1,427, -1.000000
235,0,935329791, -1.000000
235,1,291, -1.000000
236,0,1065353215, -1.000000
236,1,259, -1.000000
237,0,532676607, -1.000000
237,1,267, -1.000000
238,0,532660159, -1.000000
238,1,16843019, -1.000000
239,0,536854527, -1.000000
239,1,65547, -1.000000
240,0,536870911, -1.000000
240,1,7, -1.000000
241,0,935313343, -1.000000
241,1,16843043, -1.000000
242,0,1065320319, -1.000000
242,1,16843011, -1.000000
243,0,364887999, -1.000000
243,1,16843179, -1.000000
244,0,369082367, -1.000000
244,1,65707, -1.000000
245,0,369098751, -1.000000
245,1,87, -1.000000
246,0,1073709055, -1.000000
246,1,65539, -1.000000
247,0,939507711, -1.000000
247,1,65571, -1.000000
248,0,939524095, -1.000000
248,1,19, -1.000000
249,0,2004318071, 17.670000
249,1,286331153, 18.620001
250,0,2004318071, 17.670000
250,1,286331153, 24.280001
251,0,522133279, 21.020000
251,1,117901063, 26.590000
252,0,2139062143, 31.150000
252,1,16843009, 26.600000
253,0,33489407, 28.330000
253,1,8323199, 25.270000
254,0,33489407, 25.920000
254,1,8323199, 32.410000
255,0,2004842367, 24.190001
255,1,17891601, 35.830002
256,0,131071, -1.000000
256,1,32767, -1.000000
257,0,1310719, -1.000000
257,1,14335, -1.000000
258,0,17039359, -1.000000
258,1,16255, -1.000000
259,0,5767167, -1.000000
259,1,5631, -1.000000
260,0,286523391, -1.000000
260,1,14199, -1.000000
261,0,524287, -1.000000
261,1,8191, -1.000000
262,0,1310719, -1.000000
262,1,14335, -1.000000
263,0,2004318079, 30.549999
263,1,17895697, 30.360001
264,0,2004318079, 30.549999
264,1,17895697, 30.360001
265,0,2004318071, 17.670000
265,1,286331153, 18.620001
266,0,2004318071, 17.670000
266,1,286331153, 18.620001
267,0,2139062143, 21.379999
267,1,16843009, 22.879999
268,0,2004318071, 17.670000
268,1,286331153, 18.620001
269,0,2004318071, 17.670000
269,1,286331153, 18.620001
270,0,2139062143, 21.379999
270,1,16843009, 22.879999
271,0,2004318071, 17.670000
271,1,286331153, 24.280001
272,0,926365495, 21.020000
272,1,320017171, 26.590000
273,0,353703189, 21.030001
273,1,1465341783, 21.020000
274,0,522133279, 21.020000
274,1,117901063, 26.590000
275,0,17760527, -1.000000
275,1,259985279, -1.000000
276,0,33489407, 25.920000
276,1,8323199, 25.270000
277,0,3473461, -1.000000
277,1,905917951, -1.000000
278,0,17760527, -1.000000
278,1,259985279, -1.000000
279,0,33489407, 25.920000
279,1,8323199, 25.270000
280,0,2004318071, 17.670000
280,1,286331153, 18.620001
281,0,2004318071, 17.670000
281,1,286331153, 18.620001
282,0,2139062143, 21.379999
282,1,16843009, 22.879999
283,0,2004318071, 17.670000
283,1,286331153, 18.620001
284,0,2004318071, 17.670000
284,1,286331153, 18.620001
285,0,2139062143, 21.379999
285,1,16843009, 22.879999
286,0,2004318071, 17.670000
286,1,286331153, 18.620001
287,0,926365495, 21.020000
287,1,320017171, 21.030001
288,0,353703189, 21.030001
288,1,1465341783, 21.020000
289,0,522133279, 21.020000
289,1,117901063, 21.030001
290,0,17760527, -1.000000
290,1,259985279, -1.000000
291,0,33489407, 25.920000
291,1,8323199, 25.270000
292,0,3473461, -1.000000
292,1,905917951, -1.000000
293,0,17760527, -1.000000
293,1,259985279, -1.000000
294,0,33489407, 25.920000
294,1,8323199, 25.270000
295,0,2004318071, 17.670000
295,1,286331153, 18.620001
296,0,2139062143, 31.150000
296,1,16843009, 22.879999
297,0,2139062143, 21.379999
297,1,16843009, 26.600000
298,0,939472895, 31.780001
298,1,1245203, 26.000000
299,0,536813567, 24.190001
299,1,458759, 35.830002
300,0,930559863, -1.000000
300,1,286462227, -1.000000
301,0,369038847, -1.000000
301,1,5701719, -1.000000
302,0,1065303935, 31.780001
302,1,16974083, 26.000000
303,0,939472895, 24.190001
303,1,1245203, 35.830002
304,0,2147450879, 33.009998
304,1,65537, 28.690001
305,0,33554431, 30.549999
305,1,127, 30.360001
306,0,33554431, 30.549999
306,1,127, 30.360001
307,0,33492991, -1.000000
307,1,983167, -1.000000
308,0,17825791, -1.000000
308,1,3967, -1.000000
309,0,3538943, -1.000000
309,1,13823, -1.000000
310,0,3538943, -1.000000
310,1,13823, -1.000000
311,0,33554431, 30.549999
311,1,127, 30.360001
312,0,33554431, 30.549999
312,1,127, 30.360001
313,0,33492991, -1.000000
313,1,983167, -1.000000
314,0,17825791, -1.000000
314,1,3967, -1.000000
315,0,364904447, -1.000000
315,1,427, -1.000000
316,0,935329791, -1.000000
316,1,291, -1.000000
317,0,1065353215, -1.000000
317,1,259, -1.000000
318,0,532676607, -1.000000
318,1,267, -1.000000
319,0,532660159, -1.000000
319,1,16843019, -1.000000
320,0,536854527, -1.000000
320,1,65547, -1.000000
321,0,536870911, -1.000000
321,1,7, -1.000000
322,0,935313343, -1.000000
322,1,16843043, -1.000000
323,0,1065320319, -1.000000
323,1,16843011, -1.000000
324,0,364887999, -1.000000
324,1,16843179, -1.000000
325,0,369082367, -1.000000
325,1,65707, -1.000000
326,0,369098751, -1.000000
326,1,87, -1.000000
327,0,1073709055, -1.000000
327,1,65539, -1.000000
328,0,939507711, -1.000000
328,1,65571, -1.000000
329,0,939524095, -1.000000
329,1,19, -1.000000
330,0,2004318071, 17.670000
330,1,286331153, 18.620001
331,0,2004318071, 17.670000
331,1,286331153, 24.280001
332,0,522133279, 21.020000
332,1,117901063, 26.590000
333,0,2139062143, 31.150000
333,1,16843009, 26.600000
334,0,33489407, 28.330000
334,1,8323199, 25.270000
335,0,33489407, 25.920000
335,1,8323199, 32.410000
336,0,2004842367, 24.190001
336,1,17891601, 35.830002
337,0,131071, -1.000000
337,1,32767, -1.000000
338,0,1310719, -1.000000
338,1,14335, -1.000000
339,0,17039359, -1.000000
339,1,16255, -1.000000
340,0,5767167, -1.000000
340,1,5631, -1.000000
341,0,286523391, -1.000000
341,1,14199, -1.000000
342,0,524287, -1.000000
342,1,8191, -1.000000
343,0,1310719, -1.000000
343,1,14335, -1.000000
344,0,2004318079, 30.549999
344,1,17895697, 30.360001
345,0,2004318079, 30.549999
345,1,17895697, 30.360001
346,0,2004318071, 17.670000
346,1,286331153, 24.280001
347,0,1465341783, 25.350000
347,1,353703189, 26.590000
348,0,522133279, 25.350000
348,1,117901063, 26.590000
349,0,253693727, 25.920000
349,1,118425359, 32.410000
350,0,19071267, -1.000000
350,1,935278527, -1.000000
351,0,33489407, 25.920000
351,1,8323199, 32.410000
352,0,1434408319, -1.000000
352,1,22348117, -1.000000
353,0,134154239, -1.000000
353,1,2031647, -1.000000
354,0,287248671, 29.410000
354,1,125241207, 22.709999
355,0,19079971, -1.000000
355,1,926365631, -1.000000
356,0,253697823, -1.000000
356,1,117901071, -1.000000
357,0,17900339, -1.000000
357,1,859290559, -1.000000
358,0,17956863, -1.000000
358,1,30591, -1.000000
359,0,1431666687, -1.000000
359,1,87381, -1.000000
360,0,8388607, -1.000000
360,1,511, -1.000000
361,0,1431666687, -1.000000
361,1,87381, -1.000000
362,0,8388607, -1.000000
362,1,511, -1.000000
363,0,987423, 35.500000
363,1,125243391, 28.770000
364,0,16843263, 35.500000
364,1,8355711, 28.770000
365,0,286334975, -1.000000
365,1,489335, -1.000000
366,0,117901311, -1.000000
366,1,2039583, -1.000000
367,0,2004318071, 17.670000
367,1,286331153, 24.280001
368,0,2139062143, 21.379999
368,1,16843009, 26.600000
369,0,2139062143, 21.379999
369,1,16843009, 26.600000
370,0,1476351999, 24.190001
370,1,1376277, 26.000000
371,0,536813567, 24.190001
371,1,458759, 26.000000
372,0,2004842367, 24.190001
372,1,17891601, 26.000000
373,0,1476351999, 24.190001
373,1,1376277, 26.000000
374,0,2147450879, 23.370001
374,1,65537, 28.690001
375,0,1465341951, 36.279999
375,1,1381653, 29.040001
376,0,287309823, 28.690001
376,1,1911, 29.040001
377,0,1434451967, -1.000000
377,1,341, -1.000000
378,0,134217727, -1.000000
378,1,31, -1.000000
379,0,2004320255, -1.000000
379,1,69905, -1.000000
380,0,1434451967, -1.000000
380,1,341, -1.000000
381,0,253755391, 30.549999
381,1,1807, 30.360001
382,0,33554431, 30.549999
382,1,127, 30.360001
383,0,253701951, -1.000000
383,1,50793231, -1.000000
384,0,19136511, -1.000000
384,1,14271, -1.000000
385,0,268378111, 30.549999
385,1,458767, 30.360001
386,0,253755391, 30.549999
386,1,1807, 30.360001
387,0,2004877311, -1.000000
387,1,273, -1.000000
388,0,536870911, -1.000000
388,1,7, -1.000000
389,0,2139062271, -1.000000
389,1,65793, -1.000000
390,0,1476395007, -1.000000
390,1,21, -1.000000
391,0,2004318071, 17.670000
391,1,286331153, 18.620001
392,0,2004318071, 17.670000
392,1,286331153, 24.280001
393,0,522133279, 25.350000
393,1,117901063, 26.590000
394,0,2139062143, 21.379999
394,1,16843009, 26.600000
395,0,33489407, 28.330000
395,1,8323199, 25.270000
396,0,33489407, 28.330000
396,1,8323199, 25.270000
397,0,2004842367, 24.190001
397,1,17891601, 35.830002
398,0,131071, -1.000000
398,1,32767, -1.000000
399,0,1441791, -1.000000
399,1,22527, -1.000000
400,0,17956863, -1.000000
400,1,30591, -1.000000
401,0,524287, -1.000000
401,1,8191, -1.000000
402,0,1441791, -1.000000
402,1,22527, -1.000000
403,0,2004318079, 30.549999
403,1,17895697, 30.360001
404,0,2004318079, 30.549999
404,1,17895697, 30.360001
405,0,2004318071, 17.670000
405,1,286331153, 18.620001
406,0,2004318071, 17.670000
406,1,286331153, 18.620001
407,0,2139062143, 21.379999
407,1,16843009, 22.879999
408,0,2004318071, 17.670000
408,1,286331153, 18.620001
409,0,2004318071, 17.670000
409,1,286331153, 18.620001
410,0,2139062143, 21.379999
410,1,16843009, 22.879999
411,0,2004318071, 17.670000
411,1,286331153, 24.280001
412,0,926365495, 21.020000
412,1,320017171, 26.590000
413,0,353703189, 21.030001
413,1,1465341783, 21.020000
414,0,522133279, 21.020000
414,1,117901063, 26.590000
415,0,17760527, -1.000000
415,1,259985279, -1.000000
416,0,33489407, 25.920000
416,1,8323199, 25.270000
417,0,3473461, -1.000000
417,1,905917951, -1.000000
418,0,17760527, -1.000000
418,1,259985279, -1.000000
419,0,33489407, 25.920000
419,1,8323199, 25.270000
420,0,2004318071, 17.670000
420,1,286331153, 18.620001
421,0,2004318071, 17.670000
421,1,286331153, 18.620001
422,0,2139062143, 21.379999
422,1,16843009, 22.879999
423,0,2004318071, 17.670000
423,1,286331153, 18.620001
424,0,2004318071, 17.670000
424,1,286331153, 18.620001
425,0,2139062143, 21.379999
425,1,16843009, 22.879999
426,0,2004318071, 17.670000
426,1,286331153, 18.620001
427,0,926365495, 21.020000
427,1,320017171, 21.030001
428,0,353703189, 21.030001
428,1,1465341783, 21.020000
429,0,522133279, 21.020000
429,1,117901063, 21.030001
430,0,17760527, -1.000000
430,1,259985279, -1.000000
431,0,33489407, 25.920000
431,1,8323199, 25.270000
432,0,3473461, -1.000000
432,1,905917951, -1.000000
433,0,17760527, -1.000000
433,1,259985279, -1.000000
434,0,33489407, 25.920000
434,1,8323199, 25.270000
435,0,2004318071, 17.670000
435,1,286331153, 18.620001
436,0,2139062143, 31.150000
436,1,16843009, 22.879999
437,0,2139062143, 21.379999
437,1,16843009, 26.600000
438,0,939472895, 31.780001
438,1,1245203, 26.000000
439,0,536813567, 24.190001
439,1,458759, 35.830002
440,0,930559863, -1.000000
440,1,286462227, -1.000000
441,0,369038847, -1.000000
441,1,5701719, -1.000000
442,0,1065303935, 31.780001
442,1,16974083, 26.000000
443,0,939472895, 24.190001
443,1,1245203, 35.830002
444,0,2147450879, 33.009998
444,1,65537, 28.690001
445,0,33554431, 30.549999
445,1,127, 30.360001
446,0,33554431, 30.549999
446,1,127, 30.360001
447,0,33492991, -1.000000
447,1,983167, -1.000000
448,0,17825791, -1.000000
448,1,3967, -1.000000
449,0,3538943, -1.000000
449,1,13823, -1.000000
450,0,3538943, -1.000000
450,1,13823, -1.000000
451,0,33554431, 30.549999
451,1,127, 30.360001
452,0,33554431, 30.549999
452,1,127, 30.360001
453,0,33492991, -1.000000
453,1,983167, -1.000000
454,0,17825791, -1.000000
454,1,3967, -1.000000
455,0,364904447, -1.000000
455,1,427, -1.000000
456,0,935329791, -1.000000
456,1,291, -1.000000
457,0,1065353215, -1.000000
457,1,259, -1.000000
458,0,532676607, -1.000000
458,1,267, -1.000000
459,0,532660159, -1.000000
459,1,16843019, -1.000000
460,0,536854527, -1.000000
460,1,65547, -1.000000
461,0,536870911, -1.000000
461,1,7, -1.000000
462,0,935313343, -1.000000
462,1,16843043, -1.000000
463,0,1065320319, -1.000000
463,1,16843011, -1.000000
464,0,364887999, -1.000000
464,1,16843179, -1.000000
465,0,369082367, -1.000000
465,1,65707, -1.000000
466,0,369098751, -1.000000
466,1,87, -1.000000
467,0,1073709055, -1.000000
467,1,65539, -1.000000
468,0,939507711, -1.000000
468,1,65571, -1.000000
469,0,939524095, -1.000000
469,1,19, -1.000000
470,0,2004318071, 17.670000
470,1,286331153, 24.280001
471,0,1465341783, 21.020000
471,1,353703189, 26.590000
472,0,2139062143, 31.150000
472,1,16843009, 26.600000
473,0,1431786839, 28.330000
473,1,357897557, 25.270000
474,0,1431786839, 25.920000
474,1,357897557, 32.410000
475,0,2004842367, 24.190001
475,1,17891601, 35.830002
476,0,1431655767, -1.000000
476,1,357913941, -1.000000
477,0,858994495, -1.000000
477,1,51589939, -1.000000
478,0,859255615, -1.000000
478,1,53678899, -1.000000
479,0,859010943, -1.000000
479,1,17904435, -1.000000
480,0,926365503, -1.000000
480,1,51581715, -1.000000
481,0,858993535, -1.000000
481,1,20132659, -1.000000
482,0,858994495, -1.000000
482,1,51589939, -1.000000
483,0,2004318079, 30.549999
483,1,17895697, 30.360001
484,0,2004318079, 30.549999
484,1,17895697, 30.360001
485,0,2004318071, 17.670000
485,1,286331153, 18.620001
486,0,2004318071, 17.670000
486,1,286331153, 18.620001
487,0,2139062143, 21.379999
487,1,16843009, 22.879999
488,0,2004318071, 17.670000
488,1,286331153, 18.620001
489,0,2004318071, 17.670000
489,1,286331153, 18.620001
490,0,2139062143, 21.379999
490,1,16843009, 22.879999
491,0,2004318071, 17.670000
491,1,286331153, 24.280001
492,0,926365495, 21.020000
492,1,320017171, 26.590000
493,0,353703189, 21.030001
493,1,1465341783, 21.020000
494,0,522133279, 21.020000
494,1,117901063, 26.590000
495,0,17760527, -1.000000
495,1,259985279, -1.000000
496,0,33489407, 25.920000
496,1,8323199, 25.270000
497,0,3473461, -1.000000
497,1,905917951, -1.000000
498,0,17760527, -1.000000
498,1,259985279, -1.000000
499,0,33489407, 25.920000
499,1,8323199, 25.270000
500,0,2004318071, 17.670000
500,1,286331153, 18.620001
501,0,2004318071, 17.670000
