Index,Gates,Gates (%),Area,Area (%),Delay,Delay (%)
88,    96, 18.8,      111.74, 81.2,   446.08, 24.0
89,    92, 21.7,      108.71, 78.3,   450.40, 23.9
90,   120, 24.2,      129.70, 75.8,   414.29, 15.0
91,    91, 17.6,      108.24, 82.4,   488.58, 20.9
92,   124, 25.0,      136.24, 75.0,   367.96, 16.9
93,   104, 16.3,      127.37, 83.7,   444.49, 21.2
94,   100, 22.0,      115.24, 78.0,   442.83, 22.0
95,   112, 21.4,      124.10, 78.6,   410.38, 16.1
96,   130, 23.1,      141.60, 76.9,   394.90, 17.7
97,    97, 20.6,      114.07, 79.4,   467.31, 25.8
98,   110, 23.6,      126.44, 76.4,   440.96, 29.1
99,   104, 24.0,      120.37, 76.0,   445.63, 19.2
100,   102, 18.6,      120.61, 81.4,   505.95, 23.5
101,   106, 23.6,      120.14, 76.4,   462.25, 27.4
102,    93, 17.2,      111.74, 82.8,   469.40, 23.7
103,    88, 17.0,      108.48, 83.0,   507.68, 26.1
104,    89, 15.7,      110.81, 84.3,   450.42, 24.7
105,   106, 19.8,      122.94, 80.2,   426.32, 17.9
106,   113, 22.1,      129.70, 77.9,   443.15, 21.2
107,    86, 15.1,      105.21, 84.9,   479.25, 23.3
108,   107, 29.0,      119.21, 71.0,   485.66, 18.7
109,   110, 20.0,      123.64, 80.0,   446.98, 19.1
110,   132, 28.0,      142.53, 72.0,   422.02, 20.5
111,   114, 20.2,      126.90, 79.8,   411.60, 16.7
112,   107, 26.2,      116.87, 73.8,   456.92, 19.6
113,   132, 30.3,      136.47, 69.7,   405.15, 15.9
114,   111, 23.4,      128.54, 76.6,   455.70, 16.2
115,    95, 20.0,      113.84, 80.0,   485.62, 24.2
116,   102, 18.6,      121.54, 81.4,   481.89, 22.5
117,   102, 22.5,      121.07, 77.5,   449.46, 22.5
118,   123, 25.2,      137.17, 74.8,   394.85, 19.5
119,    90, 17.8,      110.57, 82.2,   482.38, 22.2
120,   109, 22.9,      113.61, 77.1,   477.96, 21.1
121,   112, 29.5,      121.07, 70.5,   478.94, 17.0
122,   126, 23.0,      136.00, 77.0,   401.20, 16.7
123,   103, 23.3,      115.94, 76.7,   441.77, 19.4
124,   118, 23.7,      130.40, 76.3,   405.33, 28.8
125,   106, 16.0,      122.94, 84.0,   384.28, 31.1
126,   128, 30.5,      137.17, 69.5,   462.25, 16.4
127,    86, 17.4,      111.74, 82.6,   476.37, 19.8
128,    93, 16.1,      110.34, 83.9,   476.34, 22.6
129,    90, 15.6,      113.61, 84.4,   479.05, 21.1
130,    94, 20.2,      112.91, 79.8,   457.05, 23.4
131,   100, 20.0,      118.04, 80.0,   476.73, 22.0
132,   109, 26.6,      120.37, 73.4,   462.81, 18.3
133,    96, 25.0,      112.91, 75.0,   478.92, 19.8
134,    87, 10.3,      106.14, 89.7,   491.24, 27.6
135,    91, 17.6,      107.78, 82.4,   457.69, 23.1
136,   126, 25.4,      142.53, 74.6,   394.28, 27.8
137,   109, 24.8,      116.64, 75.2,   457.95, 20.2
138,   124, 25.8,      134.37, 74.2,   423.40, 14.5
139,   101, 25.7,      112.44, 74.3,   498.70, 20.8
140,    84, 10.7,      109.18, 89.3,   490.63, 23.8
141,    90, 15.6,      109.18, 84.4,   472.04, 22.2
142,    89, 18.0,      105.68, 82.0,   480.57, 22.5
143,   124, 23.4,      132.04, 76.6,   405.45, 18.5
144,    99, 17.2,      114.54, 82.8,   479.11, 20.2
145,   110, 20.0,      126.44, 80.0,   405.58, 18.2
146,    97, 18.6,      113.84, 81.4,   483.37, 22.7
147,    89, 18.0,      112.44, 82.0,   455.25, 20.2
148,   119, 21.0,      135.07, 79.0,   348.59, 18.5
149,    90, 20.0,      112.44, 80.0,   471.28, 23.3
150,    87, 14.9,      106.38, 85.1,   490.41, 23.0
151,   134, 27.6,      137.40, 72.4,   402.40, 26.9
152,    94, 16.0,      116.17, 84.0,   487.78, 24.5
153,    93, 16.1,      110.57, 83.9,   480.87, 21.5
154,   103, 18.4,      116.64, 81.6,   432.73, 20.4
155,    96, 20.8,      109.87, 79.2,   483.18, 26.0
156,    84, 13.1,      107.78, 86.9,   465.21, 26.2
157,   100, 24.0,      115.71, 76.0,   465.15, 22.0
158,   129, 31.0,      139.73, 69.0,   404.76, 18.6
159,   116, 28.4,      126.20, 71.6,   439.18, 19.8
160,   103, 23.3,      118.97, 76.7,   438.55, 19.4
161,    87, 12.6,      109.64, 87.4,   475.66, 26.4
162,    98, 20.4,      110.81, 79.6,   465.60, 21.4
163,   103, 23.3,      116.64, 76.7,   445.39, 22.3
164,   117, 23.1,      129.00, 76.9,   455.66, 15.4
165,    97, 19.6,      113.37, 80.4,   429.99, 24.7
166,   100, 23.0,      114.31, 77.0,   478.19, 28.0
167,    99, 24.2,      116.87, 75.8,   471.11, 25.3
168,   140, 30.7,      149.30, 69.3,   383.01, 27.9
169,    90, 21.1,      108.48, 78.9,   470.06, 21.1
170,    96, 25.0,      111.51, 75.0,   468.19, 20.8
171,    86, 10.5,      100.78, 89.5,   457.59, 25.6
172,    94, 23.4,      115.71, 76.6,   507.18, 23.4
173,   131, 27.5,      140.20, 72.5,   434.54, 17.6
174,   110, 30.0,      118.74, 70.0,   495.48, 18.2
175,    86, 19.8,      109.64, 80.2,   463.45, 23.3
176,   115, 19.1,      127.84, 80.9,   425.27, 16.5
177,    90, 21.1,      108.01, 78.9,   483.60, 25.6
178,    89, 16.9,      110.11, 83.1,   511.57, 23.6
179,   108, 25.9,      122.01, 74.1,   470.34, 22.2
180,    95, 20.0,      108.94, 80.0,   491.23, 21.1
181,    88, 13.6,      108.24, 86.4,   478.57, 23.9
182,    92, 18.5,      111.97, 81.5,   476.94, 21.7
183,   104, 18.3,      124.10, 81.7,   456.03, 18.3
184,   110, 28.2,      118.97, 71.8,   495.83, 19.1
185,   129, 27.1,      143.70, 72.9,   398.46, 15.5
186,   118, 25.4,      133.20, 74.6,   414.25, 15.3
187,    88, 18.2,      107.31, 81.8,   487.88, 22.7
188,   102, 27.5,      116.64, 72.5,   492.27, 23.5
189,    95, 16.8,      114.07, 83.2,   441.72, 24.2
190,   111, 18.0,      125.04, 82.0,   401.30, 28.8
191,    93, 15.1,      116.41, 84.9,   434.38, 25.8
192,   104, 23.1,      114.07, 76.9,   481.43, 19.2
193,   119, 19.3,      135.30, 80.7,   384.73, 27.7
194,   102, 22.5,      117.57, 77.5,   473.12, 23.5
195,   120, 28.3,      130.87, 71.7,   424.53, 27.5
196,    81,  9.9,      103.81, 90.1,   459.38, 27.2
197,    94, 19.1,      112.91, 80.9,   474.85, 20.2
198,   100, 18.0,      115.24, 82.0,   480.80, 18.0
199,    92, 18.5,      109.41, 81.5,   465.82, 20.7
200,    90, 13.3,      107.54, 86.7,   471.72, 22.2
201,    88, 14.8,      108.94, 85.2,   452.29, 21.6
202,   103, 23.3,      120.84, 76.7,   463.93, 22.3
203,   109, 20.2,      123.41, 79.8,   409.56, 17.4
204,   132, 31.8,      143.70, 68.2,   394.81, 16.7
205,    93, 21.5,      112.21, 78.5,   453.34, 21.5
206,   109, 26.6,      118.51, 73.4,   469.00, 24.8
207,   135, 27.4,      142.30, 72.6,   351.97, 15.6
208,   136, 29.4,      145.80, 70.6,   397.91, 27.2
209,   101, 18.8,      118.04, 81.2,   423.50, 19.8
210,    84, 19.0,      108.24, 81.0,   481.20, 23.8
211,   134, 35.8,      135.77, 64.2,   402.54, 24.6
212,   104, 25.0,      118.04, 75.0,   478.83, 25.0
213,   118, 27.1,      135.54, 72.9,   406.37, 24.6
214,   103, 24.3,      115.71, 75.7,   500.82, 20.4
215,   110, 21.8,      126.67, 78.2,   478.02, 17.3
216,    92, 17.4,      107.31, 82.6,   504.87, 21.7
217,   103, 15.5,      123.64, 84.5,   430.65, 18.4
218,   128, 21.9,      139.27, 78.1,   370.57, 19.5
219,   131, 29.8,      139.27, 70.2,   362.22, 17.6
220,   134, 33.6,      133.90, 66.4,   415.68, 12.7
221,   138, 31.2,      147.67, 68.8,   411.99, 16.7
222,    96, 16.7,      115.94, 83.3,   430.99, 27.1
223,   114, 21.9,      126.90, 78.1,   402.51, 16.7
224,    96, 20.8,      109.87, 79.2,   486.53, 22.9
225,   124, 25.8,      136.94, 74.2,   375.85, 16.1
226,   112, 30.4,      122.94, 69.6,   502.98, 21.4
227,   101, 20.8,      116.17, 79.2,   439.87, 23.8
228,   117, 23.9,      132.27, 76.1,   421.97, 17.9
229,   119, 21.0,      134.14, 79.0,   409.30, 15.1
230,   107, 18.7,      126.67, 81.3,   455.86, 19.6
231,   131, 30.5,      138.80, 69.5,   378.13, 23.7
232,   112, 23.2,      123.87, 76.8,   475.56, 19.6
233,   112, 15.2,      126.67, 84.8,   402.24, 20.5
234,   130, 25.4,      140.20, 74.6,   378.05, 19.2
235,    98, 25.5,      113.84, 74.5,   464.44, 24.5
236,   126, 28.6,      134.60, 71.4,   439.89, 18.3
237,   111, 24.3,      127.37, 75.7,   432.35, 27.0
238,    92, 19.6,      108.71, 80.4,   488.64, 26.1
239,   117, 22.2,      131.57, 77.8,   447.73, 21.4
240,   105, 24.8,      120.84, 75.2,   488.14, 19.0
241,   112, 26.8,      124.34, 73.2,   484.65, 23.2
242,    93, 18.3,      109.87, 81.7,   500.60, 22.6
243,    85, 14.1,      106.84, 85.9,   465.73, 22.4
244,   103, 15.5,      127.60, 84.5,   448.21, 18.4
245,   111, 19.8,      121.07, 80.2,   422.78, 16.2
246,   114, 26.3,      125.27, 73.7,   421.24, 21.1
247,   129, 26.4,      140.43, 73.6,   409.38, 14.0
248,   135, 32.6,      143.00, 67.4,   452.67, 14.8
249,    93, 14.0,      109.87, 86.0,   446.81, 21.5
250,    99, 19.2,      113.14, 80.8,   458.62, 23.2
251,   102, 20.6,      122.01, 79.4,   416.89, 28.4
252,    92, 17.4,      115.01, 82.6,   437.04, 27.2
253,    95, 21.1,      111.27, 78.9,   507.85, 21.1
254,    90, 11.1,      104.98, 88.9,   463.32, 23.3
255,   118, 25.4,      130.64, 74.6,   443.93, 19.5
256,    96, 18.8,      108.24, 81.2,   468.67, 18.8
257,    89, 18.0,      111.04, 82.0,   511.01, 24.7
258,    92, 13.0,      112.67, 87.0,   453.66, 27.2
259,   140, 27.9,      142.30, 72.1,   400.35, 17.9
260,    98, 16.3,      117.81, 83.7,   469.92, 23.5
261,   128, 26.6,      142.07, 73.4,   380.22, 29.7
262,   120, 25.8,      134.37, 74.2,   461.62, 16.7
263,    96, 17.7,      110.11, 82.3,   509.82, 24.0
264,    97, 16.5,      117.11, 83.5,   465.20, 21.6
265,    94, 17.0,      115.94, 83.0,   448.60, 22.3
266,    93, 20.4,      110.57, 79.6,   484.79, 20.4
267,   122, 27.0,      134.37, 73.0,   393.30, 17.2
268,    95, 22.1,      109.41, 77.9,   447.17, 23.2
269,   120, 26.7,      129.70, 73.3,   395.19, 28.3
270,   122, 23.0,      135.77, 77.0,   401.89, 17.2
271,   104, 27.9,      121.54, 72.1,   492.59, 19.2
272,   113, 21.2,      126.44, 78.8,   444.30, 21.2
273,    94, 17.0,      106.84, 83.0,   449.58, 24.5
274,   104, 19.2,      123.87, 80.8,   436.70, 20.2
275,   123, 28.5,      131.80, 71.5,   434.39, 26.0
276,    94, 19.1,      109.18, 80.9,   457.72, 23.4
277,    81,  9.9,      107.31, 90.1,   455.60, 24.7
278,    91, 17.6,      104.74, 82.4,   476.82, 24.2
279,   131, 26.7,      137.40, 73.3,   419.08, 16.8
280,    90, 16.7,      106.84, 83.3,   465.81, 20.0
281,    97, 19.6,      117.57, 80.4,   448.65, 27.8
282,   136, 28.7,      142.07, 71.3,   397.15, 17.6
283,   114, 20.2,      126.67, 79.8,   444.27, 18.4
284,    85, 11.8,      104.28, 88.2,   469.23, 27.1
285,   116, 28.4,      126.90, 71.6,   432.43, 24.1
286,    92, 14.1,      110.11, 85.9,   478.87, 27.2
287,    92, 15.2,      108.71, 84.8,   454.48, 26.1
288,   139, 36.0,      143.70, 64.0,   421.52, 16.5
289,    92, 17.4,      113.14, 82.6,   460.88, 22.8
290,    94, 14.9,      108.71, 85.1,   461.47, 25.5
291,   101, 24.8,      116.87, 75.2,   478.39, 22.8
292,   122, 25.4,      137.40, 74.6,   424.27, 17.2
293,   121, 24.0,      135.54, 76.0,   420.43, 17.4
294,    90, 12.2,      105.44, 87.8,   454.01, 22.2
295,    86, 16.3,      108.24, 83.7,   473.42, 23.3
296,   124, 21.8,      136.00, 78.2,   380.72, 16.1
297,   109, 25.7,      122.47, 74.3,   499.95, 17.4
298,   123, 24.4,      132.50, 75.6,   417.65, 17.9
299,   112, 22.3,      135.30, 77.7,   400.90, 31.2
300,   129, 29.5,      136.47, 70.5,   410.91, 17.8
301,   115, 23.5,      131.34, 76.5,   423.24, 23.5
302,    88, 15.9,      114.07, 84.1,   480.25, 21.6
303,   107, 25.2,      117.57, 74.8,   500.72, 19.6
304,    81,  7.4,      104.04, 92.6,   466.74, 22.2
305,   135, 26.7,      141.37, 73.3,   407.06, 14.1
306,   103, 26.2,      117.57, 73.8,   498.49, 19.4
307,   105, 24.8,      118.27, 75.2,   477.21, 21.9
308,   130, 25.4,      142.77, 74.6,   414.10, 14.6
309,   106, 19.8,      118.27, 80.2,   480.65, 26.4
310,    91, 16.5,      110.34, 83.5,   463.87, 24.2
311,   110, 20.0,      122.71, 80.0,   446.31, 26.4
312,   109, 28.4,      125.04, 71.6,   467.90, 23.9
313,    88, 14.8,      105.21, 85.2,   478.99, 22.7
314,   132, 28.0,      138.80, 72.0,   402.10, 28.0
315,   104, 26.0,      118.51, 74.0,   427.76, 19.2
316,   116, 18.1,      128.77, 81.9,   409.23, 16.4
317,    93, 21.5,      113.37, 78.5,   456.34, 24.7
318,   122, 25.4,      132.50, 74.6,   393.49, 17.2
319,    91, 11.0,      106.14, 89.0,   461.96, 22.0
320,   124, 21.8,      132.97, 78.2,   410.02, 14.5
321,    92, 17.4,      110.11, 82.6,   486.52, 21.7
322,   111, 22.5,      122.94, 77.5,   454.35, 25.2
323,    82, 13.4,      107.08, 86.6,   503.40, 25.6
324,   123, 28.5,      131.57, 71.5,   464.28, 17.1
325,    86, 14.0,      106.61, 86.0,   462.88, 24.4
326,   132, 26.5,      143.00, 73.5,   448.17, 18.9
327,   104, 20.2,      120.14, 79.8,   438.19, 19.2
328,   121, 23.1,      139.03, 76.9,   435.59, 16.5
329,    93, 18.3,      111.04, 81.7,   517.05, 21.5
330,   110, 25.5,      123.41, 74.5,   476.94, 23.6
331,    89, 16.9,      113.84, 83.1,   487.36, 22.5
332,   134, 31.3,      139.03, 68.7,   384.18, 16.4
333,   122, 25.4,      138.34, 74.6,   413.52, 14.8
334,   122, 27.0,      128.07, 73.0,   445.21, 17.2
335,    99, 22.2,      113.37, 77.8,   451.29, 23.2
336,   107, 18.7,      121.07, 81.3,   423.88, 30.8
337,   115, 22.6,      136.94, 77.4,   360.06, 15.7
338,   101, 19.8,      110.11, 80.2,   468.90, 21.8
339,   107, 30.8,      123.17, 69.2,   475.49, 21.5
340,   117, 17.1,      132.04, 82.9,   369.91, 15.4
341,    96, 20.8,      115.24, 79.2,   452.57, 24.0
342,    98, 23.5,      113.84, 76.5,   499.27, 20.4
343,   114, 23.7,      125.27, 76.3,   449.80, 19.3
344,   140, 27.9,      143.00, 72.1,   386.84, 16.4
345,    94, 22.3,      116.41, 77.7,   506.17, 21.3
346,   104, 21.2,      117.34, 78.8,   458.58, 21.2
347,   129, 25.6,      137.17, 74.4,   402.38, 17.1
348,   124, 23.4,      139.73, 76.6,   425.05, 16.9
349,    90, 15.6,      106.61, 84.4,   460.02, 22.2
350,   121, 26.4,      135.77, 73.6,   403.78, 18.2
351,   125, 27.2,      135.30, 72.8,   417.15, 18.4
352,    90, 16.7,      111.97, 83.3,   491.41, 22.2
353,   108, 23.1,      119.21, 76.9,   398.21, 25.0
354,   127, 26.8,      134.60, 73.2,   368.60, 16.5
355,    94, 18.1,      113.61, 81.9,   452.48, 25.5
356,   123, 23.6,      136.94, 76.4,   386.61, 15.4
357,   124, 21.0,      147.90, 79.0,   370.96, 18.5
358,    95, 20.0,      113.37, 80.0,   509.71, 22.1
359,    95, 15.8,      109.41, 84.2,   429.97, 25.3
360,   116, 26.7,      126.90, 73.3,   461.46, 26.7
361,   112, 22.3,      124.80, 77.7,   424.83, 25.9
362,   132, 26.5,      139.97, 73.5,   423.63, 16.7
363,    90, 18.9,      115.01, 81.1,   492.68, 24.4
364,   115, 27.0,      124.34, 73.0,   443.91, 21.7
365,   123, 27.6,      137.40, 72.4,   373.37, 16.3
366,   119, 21.8,      135.77, 78.2,   415.65, 18.5
367,   107, 22.4,      123.41, 77.6,   451.48, 21.5
368,   106, 25.5,      121.07, 74.5,   448.60, 19.8
369,    91, 16.5,      110.57, 83.5,   473.96, 24.2
370,    97, 15.5,      110.57, 84.5,   495.66, 24.7
371,    98, 20.4,      113.37, 79.6,   460.09, 22.4
372,    91, 20.9,      114.07, 79.1,   469.64, 25.3
373,    89, 19.1,      110.57, 80.9,   467.28, 23.6
374,   111, 19.8,      134.60, 80.2,   385.20, 29.7
375,   100, 16.0,      111.51, 84.0,   450.98, 26.0
376,   120, 25.8,      132.27, 74.2,   388.45, 17.5
377,    94, 16.0,      115.01, 84.0,   486.37, 20.2
378,   144, 32.6,      148.37, 67.4,   379.07, 14.6
379,   107, 23.4,      122.01, 76.6,   450.87, 24.3
380,   122, 27.9,      139.50, 72.1,   435.37, 14.8
381,   138, 29.0,      144.17, 71.0,   407.75, 15.9
382,   101, 23.8,      113.37, 76.2,   445.18, 25.7
383,   124, 23.4,      140.90, 76.6,   395.54, 16.1
384,    99, 13.1,      124.57, 86.9,   436.87, 18.2
385,   105, 21.0,      115.47, 79.0,   427.18, 20.0
386,    93, 21.5,      117.11, 78.5,   456.13, 21.5
387,   102, 23.5,      115.94, 76.5,   449.53, 24.5
388,    86, 15.1,      108.24, 84.9,   495.38, 24.4
389,   119, 26.9,      126.67, 73.1,   453.74, 17.6
390,   106, 22.6,      121.07, 77.4,   451.63, 21.7
391,    93, 18.3,      110.34, 81.7,   473.36, 22.6
392,   120, 24.2,      132.27, 75.8,   401.64, 27.5
393,    88, 14.8,      105.44, 85.2,   458.84, 20.5
394,   111, 24.3,      125.97, 75.7,   452.14, 23.4
395,   107, 22.4,      123.87, 77.6,   452.21, 25.2
396,   103, 22.3,      111.97, 77.7,   473.38, 19.4
397,    85, 14.1,      105.44, 85.9,   444.57, 23.5
398,    93, 16.1,      110.34, 83.9,   492.56, 20.4
399,    95, 22.1,      115.94, 77.9,   471.24, 28.4
400,    92, 17.4,      109.64, 82.6,   492.29, 22.8
401,    94, 22.3,      114.54, 77.7,   485.28, 21.3
402,    93, 17.2,      116.64, 82.8,   480.21, 21.5
403,    98, 15.3,      108.01, 84.7,   435.55, 24.5
404,   131, 28.2,      138.10, 71.8,   401.36, 13.7
405,   107, 17.8,      122.47, 82.2,   439.92, 17.8
406,    91, 19.8,      108.24, 80.2,   485.35, 23.1
407,    95, 16.8,      111.27, 83.2,   491.78, 21.1
408,   105, 26.7,      118.04, 73.3,   496.42, 21.9
409,    85, 16.5,      108.71, 83.5,   505.31, 27.1
410,    97, 19.6,      113.84, 80.4,   479.68, 25.8
411,   116, 20.7,      129.47, 79.3,   375.60, 34.5
412,   110, 22.7,      129.94, 77.3,   424.62, 19.1
413,   103, 22.3,      113.14, 77.7,   455.14, 21.4
414,   136, 30.9,      144.17, 69.1,   360.80, 18.4
415,   124, 25.8,      134.37, 74.2,   409.36, 13.7
416,    97, 20.6,      114.07, 79.4,   504.14, 21.6
417,    85, 15.3,      108.01, 84.7,   480.14, 27.1
418,    99, 17.2,      116.17, 82.8,   437.87, 20.2
419,   124, 23.4,      134.60, 76.6,   407.78, 16.9
420,   133, 24.8,      139.27, 75.2,   411.60, 13.5
421,   101, 18.8,      117.11, 81.2,   463.85, 21.8
422,   111, 25.2,      123.64, 74.8,   453.73, 20.7
423,   129, 27.9,      134.84, 72.1,   396.51, 23.3
424,   133, 27.1,      140.67, 72.9,   417.93, 16.5
425,   105, 22.9,      120.37, 77.1,   475.19, 19.0
426,   124, 26.6,      134.84, 73.4,   442.11, 17.7
427,    84, 14.3,      109.41, 85.7,   480.95, 23.8
428,   108, 25.0,      119.44, 75.0,   448.95, 25.9
429,   113, 26.5,      122.24, 73.5,   430.82, 17.7
430,    85, 12.9,      101.24, 87.1,   477.95, 24.7
431,    88, 15.9,      108.48, 84.1,   470.62, 22.7
432,    92, 21.7,      106.14, 78.3,   481.81, 26.1
433,   119, 22.7,      132.97, 77.3,   408.55, 14.3
434,   102, 20.6,      118.27, 79.4,   488.99, 21.6
435,   125, 21.6,      140.20, 78.4,   408.79, 19.2
436,   108, 25.0,      116.17, 75.0,   485.10, 24.1
437,    92, 15.2,      110.11, 84.8,   468.72, 23.9
438,    96, 17.7,      116.64, 82.3,   489.76, 28.1
439,   122, 27.9,      140.43, 72.1,   350.49, 32.0
440,    98, 18.4,      117.11, 81.6,   469.62, 22.4
441,   100, 26.0,      114.77, 74.0,   457.94, 19.0
442,   132, 25.8,      142.30, 74.2,   416.06, 16.7
443,   121, 24.0,      139.03, 76.0,   469.17, 18.2
444,    98, 19.4,      115.24, 80.6,   431.75, 24.5
445,    91, 19.8,      110.57, 80.2,   498.63, 24.2
446,   101, 21.8,      116.64, 78.2,   442.96, 18.8
447,   139, 32.4,      141.83, 67.6,   400.43, 14.4
448,    93, 19.4,      108.71, 80.6,   468.28, 19.4
449,   127, 29.9,      136.00, 70.1,   396.65, 27.6
450,   105, 22.9,      115.94, 77.1,   478.68, 19.0
451,    99, 23.2,      114.07, 76.8,   485.91, 26.3
452,   113, 18.6,      127.60, 81.4,   401.53, 15.9
453,    94, 20.2,      111.74, 79.8,   473.60, 21.3
454,    87, 13.8,      101.71, 86.2,   461.56, 24.1
455,   129, 24.8,      140.90, 75.2,   372.68, 16.3
456,   133, 27.1,      139.03, 72.9,   383.05, 14.3
457,    89, 14.6,      110.81, 85.4,   496.37, 22.5
458,   102, 21.6,      116.64, 78.4,   444.09, 22.5
459,    78,  7.7,      100.31, 92.3,   463.12, 24.4
460,    92, 15.2,      108.71, 84.8,   500.38, 22.8
461,   104, 20.2,      123.41, 79.8,   410.31, 20.2
462,   127, 28.3,      136.70, 71.7,   383.02, 29.1
463,    89, 19.1,      110.81, 80.9,   459.54, 22.5
464,   109, 19.3,      123.41, 80.7,   467.48, 16.5
